sequence,seq_num,run,seed,project,position,model,init,fin,gain,tokens,cost,requests,time_min,flagged
sequence_02,2,run_02,450,ncs,3,gpt5mini,96.0,96.36,0.3599999999999994,59805,0.06606525,12,2.352142190933228,False
sequence_02,2,run_02,450,restcountries,1,qwen,78.27,82.5,4.230000000000004,412987,0.21646409,19,6.427434126536052,False
sequence_02,2,run_02,450,restcountries,2,glm,82.5,82.87,0.3700000000000045,400929,0.5131987280000001,31,6.721023833751678,False
sequence_02,2,run_02,450,restcountries,3,gpt5mini,82.87,82.87,0.0,290746,0.155787,16,4.929440259933472,False
sequence_02,2,run_02,450,scs,1,qwen,65.08,89.15,24.070000000000007,273115,0.2728128499999999,25,30.89814507563909,False
sequence_02,2,run_02,450,scs,2,glm,89.15,94.58,5.429999999999993,112126,0.2349918535,13,4.617932589848836,False
sequence_02,2,run_02,450,scs,3,gpt5mini,94.58,95.59,1.0100000000000051,115503,0.10106325,13,3.25678817431132,False
sequence_02,2,run_02,450,spring-actuator-demo,1,qwen,80.65,80.65,0.0,8502,0.00767187,2,2.251669124762217,False
sequence_02,2,run_02,450,spring-actuator-demo,2,glm,80.65,100.0,19.349999999999994,5677,0.01051865,2,2.3448649724324544,False
sequence_02,2,run_02,450,spring-actuator-demo,3,gpt5mini,100.0,100.0,0.0,0,0.0,0,0.0001587112744649,False
sequence_02,2,run_02,767,features-service,1,qwen,56.02,80.96,24.93999999999999,265659,0.20961463,21,7.199611294269562,False
sequence_02,2,run_02,767,features-service,2,glm,80.96,80.96,0.0,99440,0.14728669,9,6.699538306395213,False
sequence_02,2,run_02,767,features-service,3,gpt5mini,80.96,80.96,0.0,107410,0.0894255,13,3.5415964484214784,False
sequence_02,2,run_02,767,ncs,1,qwen,74.18,88.36,14.179999999999993,121803,0.1305586799999999,11,7.934994125366211,False
sequence_02,2,run_02,767,ncs,2,glm,88.36,93.09,4.730000000000004,103043,0.3177831579999999,9,7.721668219566345,False
sequence_02,2,run_02,767,ncs,3,gpt5mini,93.09,96.0,2.9099999999999966,53028,0.0567234999999999,10,2.659750747680664,False
sequence_02,2,run_02,767,restcountries,1,qwen,78.27,78.64,0.3700000000000045,432367,0.2367683,22,8.697859724362692,False
sequence_02,2,run_02,767,restcountries,2,glm,78.64,81.77,3.1299999999999955,386351,0.5801277300000001,17,8.368282500902811,False
sequence_02,2,run_02,767,restcountries,3,gpt5mini,81.77,82.87,1.1000000000000083,299108,0.1653465,19,4.497945157686869,False
sequence_02,2,run_02,767,scs,1,qwen,65.08,92.88,27.8,181994,0.15846508,14,7.058143830299377,False
sequence_02,2,run_02,767,scs,2,glm,92.88,93.56,0.6800000000000068,121662,0.2086843325,15,6.331553479035695,False
sequence_02,2,run_02,767,scs,3,gpt5mini,93.56,94.24,0.6799999999999926,118685,0.1056194999999999,14,3.378588839371999,False
