sequence,seq_num,run,seed,project,seq_label,m1,m2,m3,T0,C1,C2,C3,gain,time_min,tokens,cost,requests,flagged
sequence_03,3,run_02,767,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,80.65,100.0,19.349999999999994,9.219723399480184,30685,0.0401992699999999,6,False
sequence_03,3,run_03,367,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,80.09,80.31,80.96,24.93999999999999,14.430829628308611,519388,0.532423356,61,False
sequence_03,3,run_03,367,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,90.91,91.27,96.36,22.179999999999996,19.66247358719508,282778,0.4415892078,32,False
sequence_03,3,run_03,367,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,80.85,81.22,82.32,4.049999999999997,34.764070228735605,1157792,0.9731172888,76,False
sequence_03,3,run_03,367,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,92.2,95.59,95.59,30.510000000000005,20.275336690743764,428962,0.4687108487,42,False
sequence_03,3,run_03,367,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,80.65,100.0,19.349999999999994,7.8410407702128095,25474,0.0304854874,6,False
sequence_03,3,run_03,450,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,78.34,80.96,80.96,24.93999999999999,19.604565930366515,526677,0.4840915879999999,54,False
sequence_03,3,run_03,450,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,85.82,95.64,96.36,22.179999999999996,26.719869033495584,251863,0.352039484,27,False
sequence_03,3,run_03,450,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,81.4,81.77,81.77,3.5,17.038319810231528,1079568,0.8162832653750001,62,False
sequence_03,3,run_03,450,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,91.53,95.59,95.59,30.510000000000005,17.281926294167835,422260,0.416175297,44,False
sequence_03,3,run_03,450,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,80.65,80.65,100.0,19.349999999999994,7.979773553212484,36164,0.041104902,7,False
sequence_03,3,run_03,767,features-service,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,56.02,80.31,80.96,80.96,24.93999999999999,24.054592072963715,509834,0.6008538644,48,False
sequence_03,3,run_03,767,ncs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,74.18,96.0,96.36,96.36,22.179999999999996,13.821485515435535,213415,0.2915672664,27,False
sequence_03,3,run_03,767,restcountries,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,78.27,81.77,81.77,81.77,3.5,22.703357191880546,1088292,0.8434793899999999,72,False
sequence_03,3,run_03,767,scs,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,65.08,89.83,91.19,92.88,27.8,15.605848248799642,423242,0.5893609066000001,42,False
sequence_03,3,run_03,767,spring-actuator-demo,gpt5mini -> qwen -> glm,gpt5mini,qwen,glm,80.65,100.0,100.0,100.0,19.349999999999994,2.3533273100852967,6047,0.00782225,2,False
sequence_04,4,run_01,367,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,77.68,80.96,80.96,24.93999999999999,20.678182462851208,606886,0.7842308668,66,False
sequence_04,4,run_01,367,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,92.73,95.64,96.0,21.819999999999997,25.32894806067149,250297,0.38478962,27,False
sequence_04,4,run_01,367,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.77,81.77,81.77,3.5,23.26439214150111,1080909,0.9155384478000002,64,False
sequence_04,4,run_01,367,scs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,65.08,92.2,93.56,93.9,28.820000000000007,17.71727176507314,419851,0.6120680599199999,44,False
sequence_04,4,run_01,367,spring-actuator-demo,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,80.65,80.65,100.0,100.0,19.349999999999994,4.9618137121200565,14397,0.0223628,3,False
sequence_04,4,run_01,450,features-service,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,56.02,80.74,80.96,80.96,24.93999999999999,16.721732238928478,485210,0.5388592343199999,49,False
sequence_04,4,run_01,450,ncs,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,74.18,88.73,93.09,93.09,18.91,31.01117465098699,307385,0.493221722,28,False
sequence_04,4,run_01,450,restcountries,gpt5mini -> glm -> qwen,gpt5mini,glm,qwen,78.27,81.4,81.77,81.77,3.5,21.657563014825183,1103476,1.02418966424,63,False
